feature,mean_feat_when_shap_positive,std_feat_when_shap_positive,count_shap_positive,mean_feat_when_shap_negative,std_feat_when_shap_negative,count_shap_negative,overall_mean_feat,overall_std_feat,feature_shap_correlation,total_observations
punctuation_usage,-0.2650710483471357,0.914593462375315,2925,0.3092598934189065,1.122604470975865,3194,0.03471862774384955,1.0676253063440535,-0.36920645308465155,6119
readability_score,0.20587885815814955,1.0850029954937603,2995,-0.14996086781148213,0.9471362562438262,3124,0.024208110661968894,1.0323142311153306,0.25188166502642845,6119
sentence_length_variation,-0.2244913187192779,0.7342207756399021,3629,0.3537448594318019,1.1595800492377732,2490,0.010809887947855396,0.973355156969954,-0.46066674764098275,6119
subordinate_clause_ratio,-0.12289901975515527,1.0624489651778077,3169,0.14771082613115608,0.9813975831852144,2950,0.007563318104726838,1.0329813293053824,-0.15020625678889488,6119
sentiment_polarity,-0.09249166790614097,1.0724762838901822,2935,0.10890311998999096,1.002977086563939,3184,0.012303397408662764,1.041680143113514,-0.1075532124223241,6119
sentiment_subjectivity,0.09465436966002176,1.1899233770598152,2790,-0.010413003540158504,0.8485960684447407,3329,0.037493185580368224,1.0197697707132403,0.2888968323140344,6119
anger,-0.2537179307487625,0.9267291240079712,3253,0.36390382640620816,1.0626964524541807,2866,0.03556200976539764,1.0394016459137638,-0.3135063759388408,6119
joy,0.5309260196639488,1.2360398547774896,2916,-0.3949656234370131,0.4966603156384649,3203,0.04626660916347801,1.0348531578773874,0.5301158392124571,6119
fear,-0.33461605848173354,0.7734396476186319,2869,0.22963897999637592,1.0615064260212361,3250,-0.034921847817596316,0.9788363834706867,-0.4233153935144259,6119
sadness,-0.09699550648581684,0.7579466521438524,3598,-0.056091659011740534,1.0198764237591746,2521,-0.08014330849886694,0.8755578933882148,-0.08709694230051057,6119
disgust,0.13497594583852662,1.7395352041004901,3274,-0.07445944519771111,0.7046795013010783,2845,0.03759995507237263,1.3640330136311858,0.12718946755769173,6119
surprise,-0.12108780339628239,0.8532766086960166,3590,0.2732363486633152,1.3237296405835715,2529,0.04188748350659756,1.0903532521582873,-0.06425057551144654,6119
certainty_adverbs_count,0.9585525279339561,1.551140883185126,987,-0.2201017779209609,0.5820185001023744,4188,0.006561070940445671,0.9749971161641804,0.5567948098452714,6119
certainty_verbs_count,0.29284099474512904,1.090595228533842,2688,-0.24508438892722226,0.7821602064745161,3431,-0.008780510628271416,0.9678069738435072,0.40115922306279217,6119
certainty_adjectives_count,1.5768435835983716,1.0387753024060138,1580,-0.43372239506580373,0.26883518611829516,4539,0.0854301210788926,1.0519027259721796,0.6918064748644656,6119
doubt_adverbs_count,-0.40363563671645514,0.4356628036010016,4325,0.8524091520125261,1.2374733105032962,1794,-0.03538194314237569,0.9538977527007865,-0.6340282671457165,6119
doubt_verbs_count,5.541561602900928,1.7304350300538054,38,-0.16851638361296747,0.008204561723505543,2322,-0.05134550511318838,0.8354039494286929,0.4081723529344602,6119
doubt_adjectives_count,-0.12592610002649307,0.7868056388001434,3214,0.24961414124581294,1.339727448315772,1961,0.022606299745302517,1.0532895237556545,-0.4406661084075562,6119
hedges_score,-0.1153838398630044,0.8583688436613168,3532,0.010049564455034717,1.0336934691436876,2587,-0.062352917004568846,0.9384736456817068,-0.03493034156776534,6119
hedge_C_count,-0.05588823376820539,1.0126045200995697,2928,0.053544471421066796,1.0584574991113174,3191,0.0011798757691319948,1.0381255861358625,-0.3559621236054775,6119
hedge_D_count,,,0,,,0,0.04655708122011769,1.08906715240743,,6119
hedge_E_count,0.4014999293454383,1.4204193324761751,539,-0.1810196014291679,0.5352869698134738,1349,-0.012355963889917776,0.9385750921785778,0.26377343370267947,6119
hedge_I_count,,,0,,,0,-0.06131933068883427,0.324796173710995,,6119
hedge_N_count,3.2518490790886467,1.517453126872308,127,-0.23689149349930863,0.008282440565417834,2705,-0.08051655626631317,0.769174616960189,0.46445151170594035,6119
C_ratio,-1.1328255654475565,1.6026086027943567,1006,0.26138596859839225,0.5305614091329992,5113,0.032169298676799796,0.9613480958868151,-0.6591981721302033,6119
D_ratio,0.07896969843152009,1.132929142595935,473,0.010309241942523839,1.0226097488608967,943,0.05086882590277082,1.1341047881175066,0.05201560753234736,6119
E_ratio,0.22436530647644662,1.3933440077813022,1807,-0.10390413881525133,0.7241635808505392,3840,0.0017759728811899762,0.9968007276669423,0.3170130919771074,6119
I_ratio,,,0,,,0,-0.0567466569343094,0.4570092960694372,,6119
